"occurrenceID","scientificName","locality","decimalLatitude","decimalLongitude","year","eventDate","bibliographicCitation","institutionCode","collectionCode","catalogNumber","datasetName","datasetName_tmp","data_source"
"FO:Peces:260","Galaxias platei","Lago Los Moscos",-41.35,-71.6166666666667,1997,"1997","Milano, D y PH Vigliano. 1997. Nuevos registros de Galaxias platei Steindachner, 1898 en lagos andino-patagónicos (Teleostei, Osmeriformes, Galaxiidae). Neotrópica 43 (109-110): 109-111","FO","Peces","260","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:261","Galaxias platei","Lago Fonck",-41.3166666666667,-71.7833333333333,1997,"1997","Milano, D y PH Vigliano. 1997. Nuevos registros de Galaxias platei Steindachner, 1898 en lagos andino-patagónicos (Teleostei, Osmeriformes, Galaxiidae). Neotrópica 43 (109-110): 109-111","FO","Peces","261","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:262","Galaxias platei","Lago Mascardi",-41.2666666666667,-71.6333333333333,1997,"1997","Milano, D y PH Vigliano. 1997. Nuevos registros de Galaxias platei Steindachner, 1898 en lagos andino-patagónicos (Teleostei, Osmeriformes, Galaxiidae). Neotrópica 43 (109-110): 109-111","FO","Peces","262","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:1045","Aplochiton taeniatus","Lago Puelo",-42.1166666666667,-71.6333333333333,1967,"1967","Ringuelet, RA, R Arámburu y AA de Arámburu. 1967. Los peces argentinos de agua dulce. Com. Invest. Cient. Prov. Buenos Aires (CIC) La Plata, 602 pp","FO","Peces","1045","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:2328","Odontesthes hatcheri","Lago Pueyrredón",-47.35,-71.95,1967,"1967","Ringuelet, RA, R Arámburu y AA de Arámburu. 1967. Los peces argentinos de agua dulce. Com. Invest. Cient. Prov. Buenos Aires (CIC) La Plata, 602 pp","FO","Peces","2328","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:2486","Hatcheria macraei","Lago Buenos Aires",-46.5333333333333,-71.6166666666667,1990,"1990","Gómez, SE. 1990. Some thermal ecophysiological observations on the catfish Hatcheria macraei (Girard, 1858) (Pisces, Trichomycteridae). Biota, Chile 6: 89-95","FO","Peces","2486","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:7235","Oncorhynchus tshawytscha","Ríos Corcovado y Grande",-43.5333333333333,-71.4833333333333,1991,"1991","Grosman, F. 1991. Presencia de salmón rey, Onkorhynchus tschawytscha Walbaum en las cuencas de los ríos Grande y Corcovado, pcia de Chubut. Propuestas de pautas de manejo del recurso. Biol. Acuát. 15 (2): 200-201","FO","Peces","7235","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:4509","Galaxias maculatus","Lago Mascardi",-41.35,-71.55,2002,"2002","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp.","FO","Peces","4509","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:4510","Galaxias maculatus","Lago Guillelmo",-41.386566,-71.49425,2002,"2002","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp.","FO","Peces","4510","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:4511","Galaxias maculatus","Lago Fonck",-41.3166666666667,-71.7833333333333,2002,"2002","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp.","FO","Peces","4511","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:4512","Galaxias maculatus","Lago Los Moscos",-41.34514,-71.618776,2002,"2002","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp.","FO","Peces","4512","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:4513","Galaxias maculatus","Lago Roca",-41.3833333333333,-71.7833333333333,2002,"2002","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp.","FO","Peces","4513","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:4514","Galaxias maculatus","Lago Steffen",-41.5166666666667,-71.5833333333333,2002,"2002","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp.","FO","Peces","4514","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:4515","Galaxias maculatus","Lago Escondido",-41.7,-71.6833333333333,2002,"2002","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp.","FO","Peces","4515","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:4536","Galaxias platei","Lago Rosario",-43.2687,-71.3302,2002,"2002","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp.","FO","Peces","4536","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:4537","Galaxias platei","Lago Lezama",-42.45,-71.4833333333333,2002,"2002","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp.","FO","Peces","4537","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:4538","Galaxias platei","Lago Puelo",-42.1166666666667,-71.6333333333333,2002,"2002","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp.","FO","Peces","4538","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:4539","Galaxias platei","Lago Cholila",-42.45,-71.6666666666667,2002,"2002","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp.","FO","Peces","4539","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:4540","Galaxias platei","Lago Rivadavia",-42.6333333333333,-71.6833333333333,2002,"2002","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp.","FO","Peces","4540","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:4541","Galaxias platei","Lago Futalaufquen",-42.8333333333333,-71.6333333333333,2002,"2002","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp.","FO","Peces","4541","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:4542","Galaxias platei","Lago Verde",-42.7166666666667,-71.7333333333333,2002,"2002","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp.","FO","Peces","4542","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:4543","Galaxias platei","Lago Menéndez",-42.7,-71.8166666666667,2002,"2002","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp.","FO","Peces","4543","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:4544","Galaxias platei","Lago Krüger",-42.8833333333333,-71.75,2002,"2002","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp.","FO","Peces","4544","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:4545","Galaxias platei","Lago Amutui Quimey",-43.0833333333333,-71.6833333333333,2002,"2002","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp.","FO","Peces","4545","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:4546","Galaxias platei","Lago Tres ",-44.244045,-71.591851,2002,"2002","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp.","FO","Peces","4546","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:4547","Galaxias platei","Lago Cuatro",-44.2,-71.6,2002,"2002","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp.","FO","Peces","4547","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:4548","Galaxias platei","Lago Vintter",-43.9333333333333,-71.5333333333333,2002,"2002","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp.","FO","Peces","4548","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:4549","Galaxias platei","Lago Constancio",-44.279395,-71.488118,2002,"2002","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp.","FO","Peces","4549","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:4552","Galaxias platei","Laguna Terraplén ",-42.9833333333333,-71.5166666666667,2002,"2002","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp.","FO","Peces","4552","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:4554","Galaxias platei","Laguna Escondida",-42.755098,-71.734169,2002,"2002","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp.","FO","Peces","4554","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:4555","Galaxias platei","Laguna de los Cisnes",-42.6,-71.9167,2004,"2004","Cussac, V, S Ortubay, G Iglesias, D Milano, ME Lattuca, JP Barriga, M Battini y M Gross. 2004. The distribution of South American galaxiid fishes: the role of biological traits and post-glacial history. J. Biogeog. 31: 103-121","FO","Peces","4555","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
"FO:Peces:4557","Galaxias platei","Laguna Zeta",-42.888802,-71.34924,2002,"2002","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp.","FO","Peces","4557","Liotta, J. (2020) Geographical distribution database of freshwater fishes from Argentina. doi:10.15504/fmj.2020.47","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","Freshwater Fishes from Argentina by J. Liotta (2020)"
